"Abe's;41.819674;-71.397127;3.5;7;302 Wickenden St, Fox Point, Providence, RI 02903"
"Abyssinia;41.819494;-71.396469;4;29;333 Wickenden St, Fox Point, Providence, RI 02903"
"Adler's Hardware & Design Store;41.8191581;-71.3998327;3;5;173 Wickenden St, Fox Point, Providence, RI 02906"
"Al Forno Restaurant;41.8173184;-71.4005886;4;45;577 S Main St, Fox Point, Providence, RI 02903"
"Alley Cat;41.8223384;-71.4152628;3;6;17 Snow St, DownCity, Providence, RI 02918"
"Ama's;41.8242669;-71.4103342;4;7;3 Luongo Memorial Sq, DownCity, Providence, RI 02903"
"Amy's Place;41.819573;-71.399006;3.5;13;214 Wickenden St, Fox Point, Providence, RI 02918"
"Andreas Restaurant;41.82905;-71.400914;3.5;22;268 Thayer St, College Hill, Providence, RI 02906"
"Angkor Restaurant;41.819096;-71.399341;4;21;10 Traverse St, Fox Point, Providence, RI 02903"
"Antonio's Pizza;41.828916;-71.400915;4;24;258 Thayer St, College Hill, Providence, RI 02906"
"Aruba Steves;41.8231363;-71.4111801;3.5;5;79 Dorrance St, DownCity, Providence, RI 02903"
"Aspire;41.8224114;-71.4141721;3.5;9;311 Westminster St, DownCity, Providence, RI 02903"
"Avon Cinema;41.828884;-71.4008541;4;8;260 Thayer St, College Hill, Providence, RI 02906"
"Bacaro;41.8217121;-71.4051363;4;17;262 S Water St, Fox Point, Providence, RI 02903"
"Bagel Gourmet;41.823516;-71.399098;4.5;8;250 Brook St, College Hill, Providence, RI 02906"
"Baja's Burritos;41.829378;-71.400636;3.5;12;273 Thayer St, College Hill, Providence, RI 02906"
"Bar Louie;41.8259791;-71.414308;3;11;1 Union Station, Downtown, Providence, RI 02903"
"Berk's Shoes & Clothing Store;41.829497;-71.401027;3.5;9;278 Thayer St, College Hill, Providence, RI 02906"
"Better Burger Company;41.827514;-71.400317;2.5;16;215-217 Thayer St, College Hill, Providence, RI 02906"
"Biltmore Hotel;41.8247144;-71.4135595;3;17;11 Dorrance St, DownCity, Providence, RI 02903"
"Blake's Tavern;41.82288;-71.4147767;3.5;10;122 Washington St, DownCity, Providence, RI 02903"
"Blue Elephant;41.819668;-71.396915;3.5;5;312 Wickenden St, Fox Point, Providence, RI 02906"
"Blue State Coffee;41.8301162;-71.40115;4;17;300 Thayer St, College Hill, Providence, RI 02906"
"Brickway On Wickenden;41.819657;-71.397445;3.5;27;234 Wickenden St, Fox Point, Providence, RI 02903"
"Cable Car Cinema;41.8231069;-71.4055966;4;8;204 S Main St, College Hill, Providence, RI 02903"
"Cafe Choklad;41.827703;-71.408864;4;8;2 Thomas St, College Hill, Providence, RI 02903"
"Cafe Noir;41.828387;-71.409408;3.5;6;125 N Main St, College Hill, Providence, RI 02903"
"Cafe Nuovo;41.827379;-71.411068;4;9;1 Citizens Plz, Ste 1000, Downtown, Providence, RI 02903"
"Cafe Zog;41.819391;-71.398453;3;13;239 Wickenden St, Fox Point, Providence, RI 02903"
"Cafe La France;41.829243;-71.413282;3;5;100 Gaspee St, Downtown, Providence, RI 02903"
"Capriccio;41.823791;-71.4086192;4;14;2 Pine St, DownCity, Providence, RI 02903"
"Captain Seaweeds;41.8226959;-71.3922587;3.5;8;162 Ives St, Providence, RI 02906"
"Cellar Stories Book Store;41.8228057;-71.414546;4.5;5;111 Mathewson St, DownCity, Providence, RI 02903"
"Christiaan Salon & Day Spa;41.8343713;-71.4099692;3.5;6;4 Benefit St, College Hill, Providence, RI 02904"
"Cilantro Mexican Grill;41.8229886;-71.4112652;2.5;11;127 Weybosset St, DownCity, Providence, RI 02903"
"Citron;41.8258706;-71.414555;3;9;5 Memorial Blvd, Downtown, Providence, RI 02903"
"Coco Pazzo;41.8283195495605;-71.4014892578125;3;6;165 Angell St, College Hill, Providence, RI 02906"
"Coffee Exchange;41.81933;-71.3991291;4;35;207 Wickenden St, Fox Point, Providence, RI 02903"
"Craftland;41.8228594;-71.4126959;4;10;235 Westminster St, DownCity, Providence, RI 02903"
"Cuban Revolution;41.821988;-71.4157189;3;29;50 Aborn St, DownCity, Providence, RI 02903"
"Dok's Deli;41.8221766;-71.3921962;4;8;146 Ives St, Providence, RI 02906"
"Downcity;41.82399;-71.4097061;3;21;50 Weybosset St, DownCity, Providence, RI 02903"
"East Side Creamery;41.822982;-71.392362;3;5;170 Ives St, Providence, RI 02906"
"East Side Pockets;41.8295851;-71.4009512;4.5;77;278 Thayer St, College Hill, Providence, RI 02906"
"English Cellar Alehouse;41.827912;-71.401182;3;19;165 Angell St, College Hill, Providence, RI 02906"
"Eno Fine Wine;41.8230933;-71.4126452;4.5;6;225 Westminster St, DownCity, Providence, RI 02903"
"Everyman;41.8239891;-71.4128343;3;5;311 Iron Horse Wy, DownCity, Providence, RI 02908"
"Fancheezical;41.816736;-71.4091563;4;6;DownCity, Providence, RI 02903"
"Fat Belly's Pub;41.827427;-71.409843;3.5;20;125 Canal St, College Hill, Providence, RI 02903"
"Fellini Pizzeria;41.8193377;-71.4000648;3.5;38;166 Wickenden St, Fox Point, Providence, RI 02903"
"Fire & Ice;41.8264976;-71.4156805;3;27;48 Providence Pl, Downtown, Providence, RI 02903"
"Flan Y Ajo;41.8230933;-71.4126452;4.5;15;225 Westminster St, Ste A, DownCity, Providence, RI 02903"
"Fleming's Prime Steakhouse & Wine Bar;41.824969;-71.4159063;4;17;One W Exchange St, DownCity, Providence, RI 02903"
"Flipp Salon & Apothecary;41.8203303;-71.4025661;5;5;38 Transit St, Fox Point, Providence, RI 02903"
"Froyoworld;41.827592;-71.400326;4;18;219 Thayer St, College Hill, Providence, RI 02906"
"Gavin's Pub & Restaurant;41.817928314209;-71.401969909668;4.5;8;520 S Water St, Fox Point, Providence, RI 02903"
"Geoff's Superlative Sandwiches;41.828742;-71.408115;4;21;163 Benefit St, College Hill, Providence, RI 02903"
"Gourmet Heaven;41.8221434;-71.411888;3.5;7;173 Weybosset St, DownCity, Providence, RI 02903"
"Gourmet India;41.827388;-71.416624;3.5;8;Providence Place Mall, 1 Providence Pl, Downtown, Providence, RI 02903"
"Gracie's;41.822046;-71.415918;4.5;40;194 Washington St, DownCity, Providence, RI 02903"
"Guido's Restaurant;41.822083;-71.3967265;4;5;100 Hope St, Fox Point, Providence, RI 02906"
"Hairspray Salon;41.8194327;-71.397824;4.5;5;259 Wickenden St, Fox Point, Providence, RI 02903"
"Harry's Bar & Burger;41.828261;-71.409293;3.5;33;121 N Main St, College Hill, Providence, RI 02903"
"Haruki Express;41.8275163;-71.39981;3;6;112 Waterman St, College Hill, Providence, RI 02906"
"Haven Brothers;41.8241644;-71.4123699;3;8;Fulton and Dorrance St, DownCity, Providence, RI 02903"
"Hemenway's;41.8244415;-71.4071376;3.5;27;121 S Main St, College Hill, Providence, RI 02903"
"India Point Park;41.8181492;-71.3949129;4;7;India St, Fox Point, Providence, RI 02903"
"Jacky's Waterplace;41.8274018;-71.4127984;4;16;200 Exchange St, Downtown, Providence, RI 02903"
"Joe's American Bar & Grill;41.827537;-71.41568;3;10;148 Providence Pl, Downtown, Providence, RI 02903"
"John Brown House Museum;41.8229147;-71.4034357;4.5;5;52 Power St, College Hill, Providence, RI 02906"
"Johnny Rockets;41.829104;-71.4006;3;10;269 Thayer St, College Hill, Providence, RI 02906"
"Juniper Frozen Yogurt;41.8279392;-71.4005565;4;9;229 Thayer St, College Hill, Providence, RI 02906"
"Kabob and Curry;41.8289029;-71.40058;4;38;261 Thayer St, College Hill, Providence, RI 02906"
"Kartabar;41.829596;-71.401008;3.5;22;284 Thayer St, College Hill, Providence, RI 02906"
"Ky Michaels Salon;41.820278;-71.394291;5;7;442 Wickenden St, Providence, RI 02906"
"L'Elizabeth;41.8221968;-71.4049402;2.5;6;285 S Main St, Fox Point, Providence, RI 02903"
"La Creperie;41.827815;-71.400193;3.5;30;82 Fones Aly, College Hill, Providence, RI 02906"
"Liquid Lounge;41.827912;-71.401182;3;5;165 Angell St, College Hill, Providence, RI 02906"
"Local 121;41.823014;-71.414995;4;39;121 Washington St, DownCity, Providence, RI 02903"
"Lola's Tequila Bar & Cantina;41.8174443;-71.4017264;2.5;20;525 S Water St, Fox Point, Providence, RI 02903"
"Loui's Restaurant;41.824692;-71.399079;3.5;25;286 Brook St, College Hill, Providence, RI 02906"
"Lupo's Heartbreak Hotel;41.823807;-71.414551;3.5;15;79 Washington St, DownCity, Providence, RI 02903"
"Luxe Burger Bar;41.825803;-71.414305;3.5;53;5 Memorial Blvd, Downtown, Providence, RI 02903"
"Madeira Liquors;41.8231313;-71.3923521;4.5;6;174 Ives St, Providence, RI 02906"
"Mama Kim's Korean BBQ;41.8272819;-71.400536;4.5;21;Corner of Thayer St and Waterman St, College Hill, College Hill, Providence, RI 02906"
"McCormick & Schmick's;41.8247144;-71.4135595;3;12;11 Dorrance St., DownCity, Providence, RI 02903"
"McCurdy's Junction House;41.820424;-71.3917949;4;6;79 Ives St, Providence, RI 02903"
"McFadden's;41.8230002;-71.4094431;2.5;11;52 Pine St, DownCity, Providence, RI 02903"
"Meeting Street Café;41.829438;-71.401268;4;19;220 Meeting St, College Hill, Providence, RI 02906"
"Metro Nails;41.819757;-71.395227;4.5;11;395 Wickenden St, Fox Point, Providence, RI 02903"
"Mill's Tavern;41.8280065;-71.4092338;4;24;101 N Main St, College Hill, Providence, RI 02903"
"Mirabar;41.820566;-71.4121119;4;9;35 Richmond St, DownCity, Providence, RI 02903"
"Murphy's Deli & Bar;41.823773;-71.4158374;3.5;7;100 Fountain Street, DownCity, Providence, RI 02903"
"New Rivers;41.8274261;-71.4094955;4;16;7 Steeple St, College Hill, Providence, RI 02903"
"Nice Slice;41.8290247;-71.4006702;4;42;267 Thayer St, College Hill, Providence, RI 02906"
"Nick-A-Nees;41.8172148;-71.4084338;4;12;75 South St, DownCity, Providence, RI 02903"
"Noodles 102;41.8210754;-71.3920096;4;7;102 Ives St, Providence, RI 02903"
"Olga's Cup and Saucer;41.8165064;-71.4073932;3.5;24;103 Point St, DownCity, Providence, RI 02903"
"Olives;41.8280384;-71.4095538;2.5;5;108 N Main St, College Hill, Providence, RI 02903"
"P.F. Chang's China Bistro;41.828158;-71.415696;3;19;111 Providence Pl, Downtown, Providence, RI 02908"
"PVD Social Club;41.8203961;-71.4114092;4;5;71 Richmond St, DownCity, Providence, RI 02903"
"Pakarang Exquisite Thai Cuisine;41.821931;-71.404849;3.5;9;303 S Main St, Fox Point, Providence, RI 02903"
"Paragon;41.8280017;-71.4007768;3.5;29;234 Thayer St, College Hill, Providence, RI 02906"
"Parkside Rotisserie & Bar;41.8248301;-71.4071149;3.5;13;76 S Main St, College Hill, Providence, RI 02903"
"Phonatic;41.827912;-71.401182;3;7;165 Angell Str, College Hill, Providence, RI 02906"
"Pie in the Sky;41.8278715;-71.4005486;4;6;225 Thayer St, College Hill, Providence, RI 02906"
"Pizza Pie-Er;41.819832;-71.395878;3.5;17;374 Wickenden Street, Fox Point, Providence, RI 02903"
"Pizza Queen;41.821724;-71.412701;2.5;7;215 Weybosset St, DownCity, Providence, RI 02903"
"Pizzeria Uno Chicago Bar & Grill;41.826605;-71.415922;3.5;8;82 Providence Pl, Downtown, Providence, RI 02903"
"Poco Loco Taco Truck;41.8218531;-71.4121125;4;7;200 Weybosset St, DownCity, Providence, RI 02903"
"Point Street Dueling Pianos;41.8171963;-71.4058223;3.5;7;3 Davol Sq, DownCity, Providence, RI 02903"
"Pot Au Feu;41.8242389;-71.409287;3.5;13;44 Custom House St, DownCity, Providence, RI 02903"
"Prospect Park;41.830489;-71.4069947;4.5;7;Congdon St at Bowen St, College Hill, Providence, RI 02906"
